job,Machine 1,Machine 2,Machine 3,Machine 4,Machine 5,Machine 6,Machine 7,Machine 8,Machine 9,Machine 10,Machine 11,Machine 12,Machine 13,Machine 14,Machine 15,Machine 16,Machine 17,Machine 18,Machine 19,Machine 20
1,58.45160398545497,56.42183881247686,53.31821122308276,61.142514254374156,57.14110149078107,62.742561748415845,62.438244487659,52.95683029680479,55.9250253849806,50.542009322900476,58.72164552117369,48.185770731816646,66.58929376674415,54.670850207653686,61.40837787159966,48.65854669720883,58.57366435738936,47.43400122795726,60.5321663513183,53.725459510506205
2,47.13069337942029,49.97412109782823,49.461521312465656,53.45759243355109,44.28340324695071,50.56549545140176,45.60460924002106,51.806181101609894,58.248115532387075,44.746057415748105,48.54466253696155,50.21813326567519,43.36420784732541,50.15752684756508,50.44886975867809,45.11233863387851,45.5567408095663,44.296721556324854,43.76556387647501,51.63156267066728
3,72.71650422111405,64.81313532539977,62.97523254657854,76.35343111691373,71.88836646659756,67.62595946985941,63.956010020558274,59.50394135471477,59.03204790111516,66.65953821139641,52.39682420570261,58.299852874400244,64.5314662790702,63.934741131056384,49.817658416496755,65.5175433321326,59.157914544326516,56.775021431063514,61.0008054083103,60.17806737236955
4,44.5003491572697,51.666854662149674,45.658700306679386,44.76776725264902,40.226377799882776,46.05089960652241,49.153778398157,61.17557370667657,56.735286885115165,43.22529396508608,48.19050627900732,43.258916535003834,43.99297665575645,55.703814784716975,41.204670064092646,38.813595744109385,55.71394423827309,41.92194422231737,39.593789532074865,45.94460737014173
5,48.97707405749106,41.32241652319143,54.406341189310076,53.20361691011499,54.478513199183205,51.33397793927517,54.30820495757601,52.32067631839155,47.8286799612435,49.85269578963291,56.924112409081516,52.72881864721868,53.94533169986379,57.86677699112519,55.52959469745785,52.02061299741043,57.0392818670922,53.65061488753827,41.18859399920453,56.23132056579921
6,14.438630661712509,19.95767224185371,18.960422990709347,21.80640071939932,17.47838355658071,15.379520781092456,18.5937384155549,18.33940574432485,16.338836426887926,17.461580376298922,21.43019039266838,19.26071087855708,13.879059185787726,16.629619207059694,14.988814936788609,19.29989157173812,18.965747224167707,18.89096589209102,20.11266320253638,18.9616177090041
7,72.90079863894356,66.17337777931579,71.40125882353111,64.56530986035084,77.12998178917275,75.18862025196348,58.95229400716656,60.03325536250897,83.34700008860781,67.0349629276241,67.41533281764143,75.32616183674884,65.84950783785825,69.36306857347405,63.643554719351876,71.5509745903463,67.88589931739395,62.73281796363914,65.57527053655716,59.06463882631749
8,31.1954611878693,29.62679679387417,25.251221717833022,26.940260217675572,28.496462032212808,26.154860670078133,30.660599722155407,32.07367410972116,29.933424074266394,27.53103594837145,25.862036492702433,29.506390654215377,32.70288583200917,27.247601292211268,30.104933150863058,26.324364232163777,32.07688852066954,27.488263107368486,28.16148796492108,26.829763604957318
9,73.83617491981988,79.50285097418198,72.84429905915428,83.70811221148135,64.24334735633543,68.4745702229959,69.53208236874623,76.49724184708609,77.06448815915499,67.42452249951403,72.06716358059143,65.85223289572886,71.75942736345561,82.91460845170666,63.834122027415226,75.75343958149018,78.4482093792416,65.0861296968457,78.78750417506384,77.22890278378057
10,74.76849617439646,82.25254500453953,71.92111302961649,75.47792200398519,76.80766101826754,86.62546829974606,86.32441228282221,84.46180606612641,92.7017755584511,70.20669807697139,62.31241690178861,77.93643160494437,81.62625711192375,74.87669916331849,63.95448801264606,78.28019014098676,70.68098580410866,75.88645833757052,76.04916065121964,71.29742181736665
